test,t_s,speed_mps,z_m,roll_deg,pitch_deg,yaw_rate_or_tilt
full_thrust,0.00,0.028,-0.002,0.00,0.00,0.000
full_thrust,1.00,1.612,-0.922,0.00,0.00,0.000
full_thrust,2.00,3.045,-0.762,0.00,0.00,0.000
full_thrust,3.00,4.342,-0.119,0.00,0.00,0.000
full_thrust,4.00,5.515,-1.024,0.00,0.00,0.000
full_thrust,5.00,6.577,-0.536,0.00,0.00,0.000
full_thrust,6.00,7.537,-0.293,0.00,0.00,0.000
full_thrust,7.00,8.406,-1.022,0.00,0.00,0.000
full_thrust,8.00,9.193,-0.381,0.00,0.00,0.000
full_thrust,9.00,9.904,-0.479,0.00,0.00,0.000
full_thrust,10.00,10.548,-0.943,0.00,0.00,0.000
full_thrust,11.00,11.131,-0.306,0.00,0.00,0.000
full_thrust,12.00,11.658,-0.639,0.00,0.00,0.000
full_thrust,13.00,11.967,-0.819,0.00,0.00,0.000
full_thrust,14.00,11.999,-0.313,0.00,0.00,0.000
full_thrust,15.00,11.965,-0.747,0.00,0.00,0.000
full_thrust,16.00,11.961,-0.681,0.00,0.00,0.000
full_thrust,17.00,11.996,-0.380,0.00,0.00,0.000
full_thrust,18.00,11.991,-0.788,0.00,0.00,0.000
full_thrust,19.00,11.972,-0.575,0.00,0.00,0.000
full_thrust,20.00,11.987,-0.468,0.00,0.00,0.000
full_thrust,21.00,12.000,-0.778,0.00,0.00,0.000
full_thrust,22.00,11.987,-0.510,0.00,0.00,0.000
full_thrust,23.00,11.985,-0.551,0.00,0.00,0.000
full_thrust,24.00,11.998,-0.736,0.00,0.00,0.000
full_thrust,25.00,11.997,-0.486,0.00,0.00,0.000
full_thrust,26.00,11.989,-0.616,0.00,0.00,0.000
full_thrust,27.00,11.995,-0.683,0.00,0.00,0.000
full_thrust,28.00,12.000,-0.492,0.00,0.00,0.000
full_thrust,29.00,11.995,-0.655,0.00,0.00,0.000
full_torque,0.00,11.974,-0.632,0.00,0.00,0.010
full_torque,1.00,10.834,-0.515,0.08,1.55,0.601
full_torque,2.00,9.803,-0.671,0.23,1.23,1.047
full_torque,3.00,8.870,-0.594,1.19,1.38,1.047
full_torque,4.00,8.025,-0.545,1.32,1.36,1.047
full_torque,5.00,7.261,-0.673,0.96,1.30,1.047
full_torque,6.00,6.570,-0.565,0.85,1.30,1.047
full_torque,7.00,5.945,-0.577,0.97,1.33,1.047
full_torque,8.00,5.379,-0.661,1.04,1.33,1.047
full_torque,9.00,4.867,-0.551,1.00,1.32,1.047
full_torque,10.00,4.403,-0.605,0.97,1.32,1.047
full_torque,11.00,3.984,-0.641,0.98,1.32,1.047
full_torque,12.00,3.605,-0.550,0.99,1.32,1.047
full_torque,13.00,3.262,-0.625,0.99,1.32,1.047
full_torque,14.00,2.951,-0.618,0.98,1.32,1.047
full_torque,15.00,2.670,-0.558,0.98,1.32,1.047
full_torque,16.00,2.416,-0.635,0.99,1.32,1.047
full_torque,17.00,2.186,-0.598,0.99,1.32,1.047
full_torque,18.00,1.978,-0.572,0.98,1.32,1.047
full_torque,19.00,1.790,-0.636,0.98,1.32,1.047
full_torque,20.00,1.619,-0.584,0.98,1.32,1.047
full_torque,21.00,1.465,-0.588,0.99,1.32,1.047
full_torque,22.00,1.326,-0.631,0.99,1.32,1.047
full_torque,23.00,1.199,-0.577,0.98,1.32,1.047
full_torque,24.00,1.085,-0.602,0.98,1.32,1.047
full_torque,25.00,0.982,-0.621,0.98,1.32,1.047
full_torque,26.00,0.888,-0.575,0.98,1.32,1.047
full_torque,27.00,0.804,-0.612,0.98,1.32,1.047
full_torque,28.00,0.727,-0.610,0.98,1.32,1.047
full_torque,29.00,0.658,-0.579,0.98,1.32,1.047
free_float,0.00,0.595,-0.617,0.99,1.32,1.046
free_float,1.00,0.539,-0.600,1.31,0.27,1.000
free_float,2.00,0.487,-0.586,1.53,0.01,0.955
free_float,3.00,0.441,-0.619,1.22,0.07,0.913
free_float,4.00,0.399,-0.592,0.90,0.07,0.873
free_float,5.00,0.361,-0.593,0.93,0.05,0.835
free_float,6.00,0.327,-0.617,1.07,0.04,0.797
free_float,7.00,0.296,-0.589,1.04,0.05,0.762
free_float,8.00,0.267,-0.601,0.85,0.06,0.729
free_float,9.00,0.242,-0.611,0.72,0.05,0.696
free_float,10.00,0.219,-0.588,0.72,0.05,0.666
free_float,11.00,0.198,-0.606,0.75,0.04,0.636
free_float,12.00,0.179,-0.606,0.71,0.05,0.608
free_float,13.00,0.162,-0.589,0.61,0.05,0.581
free_float,14.00,0.147,-0.609,0.54,0.05,0.555
free_float,15.00,0.133,-0.601,0.51,0.04,0.531
free_float,16.00,0.120,-0.593,0.51,0.04,0.507
free_float,17.00,0.109,-0.610,0.48,0.04,0.485
free_float,18.00,0.098,-0.597,0.43,0.04,0.463
free_float,19.00,0.089,-0.597,0.38,0.04,0.443
free_float,20.00,0.081,-0.609,0.35,0.04,0.423
free_float,21.00,0.073,-0.595,0.34,0.04,0.405
free_float,22.00,0.066,-0.600,0.32,0.03,0.387
free_float,23.00,0.060,-0.606,0.29,0.03,0.370
free_float,24.00,0.054,-0.594,0.26,0.03,0.353
free_float,25.00,0.049,-0.603,0.24,0.03,0.338
free_float,26.00,0.044,-0.603,0.22,0.03,0.323
free_float,27.00,0.040,-0.595,0.21,0.03,0.308
free_float,28.00,0.036,-0.605,0.19,0.03,0.295
free_float,29.00,0.033,-0.601,0.17,0.03,0.282
