test,t_s,speed_mps,z_m,roll_deg,pitch_deg,yaw_rate_or_tilt
full_thrust,0.00,0.028,-0.002,0.00,0.00,0.000
full_thrust,1.00,1.694,-0.922,0.00,0.00,0.000
full_thrust,2.00,3.370,-0.762,0.00,0.00,0.000
full_thrust,3.00,5.069,-0.119,0.00,0.00,0.000
full_thrust,4.00,6.804,-1.024,0.00,0.00,0.000
full_thrust,5.00,8.591,-0.536,0.00,0.00,0.000
full_thrust,6.00,9.775,-0.307,0.01,0.40,0.001
full_thrust,7.00,10.242,-1.034,0.01,11.70,0.011
full_thrust,8.00,10.458,-0.945,43.18,18.30,0.012
full_thrust,9.00,9.367,-2.932,43.73,3.47,0.015
full_thrust,10.00,9.102,-6.172,43.41,14.82,0.029
full_thrust,11.00,9.080,-8.927,57.86,25.79,0.050
full_thrust,12.00,8.881,-13.234,82.86,9.36,0.090
full_thrust,13.00,6.655,-17.037,86.38,10.05,0.025
full_thrust,14.00,7.409,-19.582,84.30,9.14,0.104
full_thrust,15.00,7.249,-22.667,79.25,7.81,0.027
full_thrust,16.00,7.946,-24.724,83.66,10.62,0.052
full_thrust,17.00,6.362,-24.749,87.38,11.15,0.017
full_thrust,18.00,6.220,-24.919,87.04,2.73,0.003
full_thrust,19.00,6.493,-24.819,86.94,6.53,0.024
full_thrust,20.00,6.305,-24.787,87.31,6.97,0.010
full_thrust,21.00,6.158,-24.904,86.89,2.29,0.001
full_thrust,22.00,6.440,-24.775,86.80,5.74,0.024
full_thrust,23.00,6.248,-24.786,86.55,7.58,0.006
full_thrust,24.00,6.164,-24.919,87.31,7.26,0.002
full_thrust,25.00,6.207,-24.779,86.99,7.82,0.000
full_thrust,26.00,6.335,-24.861,87.30,7.58,0.007
full_thrust,27.00,6.197,-24.912,87.79,2.71,0.014
full_thrust,28.00,6.254,-24.790,87.22,9.06,0.015
full_thrust,29.00,6.171,-24.904,87.91,1.24,0.010
full_torque,0.00,6.350,-24.798,86.19,5.10,0.014
full_torque,1.00,5.716,-24.766,86.41,9.86,0.301
full_torque,2.00,4.946,-24.853,86.49,11.90,0.528
full_torque,3.00,5.233,-24.844,87.21,11.65,0.511
full_torque,4.00,6.185,-24.937,93.65,28.69,0.158
full_torque,5.00,5.657,-25.837,147.27,41.53,0.101
full_torque,6.00,3.037,-29.625,166.33,18.25,0.099
full_torque,7.00,2.580,-35.246,162.76,33.25,0.164
full_torque,8.00,4.565,-39.972,162.06,41.20,0.460
full_torque,9.00,5.921,-43.179,90.89,37.41,0.101
full_torque,10.00,5.364,-42.638,93.06,11.67,0.026
full_torque,11.00,2.932,-38.267,90.36,28.27,0.189
full_torque,12.00,2.442,-32.950,98.45,22.71,0.144
full_torque,13.00,5.682,-28.345,104.24,45.44,0.286
full_torque,14.00,6.253,-27.893,106.60,30.94,0.267
full_torque,15.00,5.452,-26.590,103.02,16.97,0.203
full_torque,16.00,5.673,-24.531,94.76,38.80,0.090
full_torque,17.00,5.388,-25.859,121.48,21.69,0.236
full_torque,18.00,3.865,-27.601,111.20,32.72,0.229
full_torque,19.00,3.534,-28.917,106.65,20.21,0.261
full_torque,20.00,3.997,-28.547,103.57,30.15,0.166
full_torque,21.00,5.569,-28.121,97.20,23.06,0.231
full_torque,22.00,3.345,-25.492,96.89,18.74,0.240
full_torque,23.00,3.088,-22.608,108.28,37.52,0.215
full_torque,24.00,2.690,-24.126,126.92,34.53,0.267
